method,n,sim_id,component,mu_true,mu_hat,ci_lower,ci_upper,covered,elapsed_time
Gibbs,100,102,2,5,5.365129518969915,4.941665200317265,5.779606673098276,1,16.107
Gibbs,100,102,3,10,10.158230587848118,9.685286637836754,10.619383023808703,1,16.107
Gibbs,100,102,4,20,19.70238231105752,19.317238203470627,20.08541806426765,1,16.107
VB,100,102,1,0,0.07789638589128955,-0.26903339454376857,0.4248261663263477,1,0.04100000000000037
VB,100,102,2,5,5.366047318846363,4.966689349303841,5.765405288388885,1,0.04100000000000037
VB,100,102,3,10,10.158518915692422,9.696865913346883,10.62017191803796,1,0.04100000000000037
VB,100,102,4,20,19.702818087433837,19.318504361943607,20.087131812924067,1,0.04100000000000037
Gibbs,100,103,1,0,-0.46102031810638466,-0.8570432036326201,-0.05792565954184418,0,16.097
Gibbs,100,103,2,5,5.08150906999998,4.643966832294809,5.513986733161986,1,16.097
Gibbs,100,103,3,10,10.056760014487343,9.58820019953927,10.53805953053811,1,16.097
Gibbs,100,103,4,20,20.07790923852479,19.74002072540133,20.409685974093513,1,16.097
VB,100,103,1,0,-0.4650787813976901,-0.8650575481297067,-0.06510001466567356,0,0.04499999999999815
VB,100,103,2,5,5.085623982519802,4.670501554802573,5.500746410237032,1,0.04499999999999815
VB,100,103,3,10,10.056025799706294,9.614710832176382,10.497340767236206,1,0.04499999999999815
VB,100,103,4,20,20.08013074083578,19.74404293500016,20.4162185466714,1,0.04499999999999815
Gibbs,100,104,1,0,-0.08307136045023074,-0.506898688706323,0.339075386971471,1,16.076
Gibbs,100,104,2,5,5.2623025549398035,4.8487532440811405,5.6731061711976185,1,16.076
Gibbs,100,104,3,10,10.19581566579091,9.819980194693605,10.584904008780196,1,16.076
Gibbs,100,104,4,20,19.920704066144545,19.529148021851775,20.308443396389738,1,16.076
VB,100,104,1,0,-0.08533554864502145,-0.5030444747924253,0.3323733775023824,1,0.04100000000000037
VB,100,104,2,5,5.261569317757802,4.862135169113192,5.661003466402412,1,0.04100000000000037
VB,100,104,3,10,10.19591975618271,9.825081207725928,10.56675830463949,1,0.04100000000000037
VB,100,104,4,20,19.921783698076048,19.537469972585885,20.30609742356621,1,0.04100000000000037
Gibbs,100,105,1,0,0.07004003498720515,-0.33060647445977137,0.4800121303049216,1,23.468
Gibbs,100,105,2,5,5.230690360708398,4.788480848165683,5.666867165381888,1,23.468
Gibbs,100,105,3,10,10.430527850191057,10.054694872151249,10.81264240051319,0,23.468
Gibbs,100,105,4,20,20.147736826990503,19.748912696895136,20.550467310402674,1,23.468
VB,100,105,1,0,0.07097591375938517,-0.3290573864530197,0.47100921397179,1,0.0660000000000025
VB,100,105,2,5,5.224422305746384,4.809847822939128,5.638996788553641,1,0.0660000000000025
VB,100,105,3,10,10.425507555446265,10.065692651512666,10.78532245937986,0,0.0660000000000025
VB,100,105,4,20,20.151792286993484,19.751792286994124,20.551792286992843,1,0.0660000000000025
Gibbs,100,106,1,0,-0.16918402133547586,-0.5848101542792978,0.25896359465830987,1,23.327
Gibbs,100,106,2,5,4.989850593599039,4.524762661850522,5.448569473709791,1,23.327
Gibbs,100,106,3,10,9.663065245450252,9.29253151127168,10.03769281999536,1,23.327
Gibbs,100,106,4,20,19.780189861170545,19.378227122711433,20.17402888324531,1,23.327
VB,100,106,1,0,-0.17024687996853444,-0.5717216780775767,0.23122791814050775,1,0.06899999999999906
VB,100,106,2,5,4.985388876420791,4.57095632310802,5.399821429733563,1,0.06899999999999906
VB,100,106,3,10,9.658787734393597,9.299919569958384,10.017655898828806,1,0.06899999999999906
VB,100,106,4,20,19.78372021447708,19.38372021447713,20.18372021447703,1,0.06899999999999906
Gibbs,100,107,1,0,-0.1059331590174202,-0.46451859738239104,0.26761937753343545,1,23.365
Gibbs,100,107,2,5,5.037802871684185,4.536305408589705,5.556827970554291,1,23.365
Gibbs,100,107,3,10,9.819883461761023,9.428047016045737,10.2128498182133,1,23.365
Gibbs,100,107,4,20,19.82137494096665,19.44918013065837,20.19452143081318,1,23.365
VB,100,107,1,0,-0.10253832336809182,-0.4665953581157933,0.26151871137960964,1,0.06299999999999883
VB,100,107,2,5,5.035527432962818,4.5625705357975725,5.508484330128063,1,0.06299999999999883
VB,100,107,3,10,9.817793175027926,9.432449137649394,10.20313721240646,1,0.06299999999999883
VB,100,107,4,20,19.817809545069306,19.44747048759119,20.188148602547415,1,0.06299999999999883
Gibbs,100,108,1,0,0.02008452623877765,-0.3603194311619574,0.3934269994495252,1,23.474
Gibbs,100,108,2,5,5.167627268666076,4.6902467379967145,5.654065775644648,1,23.474
Gibbs,100,108,3,10,10.328639999317922,9.938569852998352,10.711120563833108,1,23.474
Gibbs,100,108,4,20,20.433701439205965,20.052213417966335,20.816245433657173,0,23.474
VB,100,108,1,0,0.02327041650237329,-0.3475047432436699,0.39404557624841646,1,0.06400000000000006
VB,100,108,2,5,5.164462136781252,4.716973827292311,5.6119504462701935,1,0.06400000000000006
VB,100,108,3,10,10.329665960691395,9.95177334519393,10.70755857618886,1,0.06400000000000006
VB,100,108,4,20,20.432362671980464,20.048048946492948,20.81667639746798,0,0.06400000000000006
Gibbs,100,109,1,0,-0.1500513377172972,-0.5828694265403763,0.2778097192925882,1,23.363
